epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,229.55,0.87145,1.29255,0.93751,0.7523,0.72937,0.78987,0.60477,1.00612,0.78249,1.05252,0.0055945,0.0055945,0.0055945
91,231.732,1.13426,1.30105,1.17064,0.87585,0.77698,0.82253,0.58092,1.1185,0.69865,1.08486,0.005545,0.005545,0.005545
92,233.906,0.87444,1.69339,0.96136,0.8621,0.77248,0.82959,0.61791,1.04995,0.78435,1.06041,0.0054955,0.0054955,0.0054955
93,236.063,0.96662,0.99226,1.02464,0.8984,0.78515,0.81747,0.64759,0.91942,0.85501,1.0252,0.005446,0.005446,0.005446
94,238.22,1.30315,1.49051,1.14944,0.85619,0.79286,0.81574,0.63523,0.91007,0.8438,1.03526,0.0053965,0.0053965,0.0053965
95,240.377,1.03659,1.18685,1.09584,0.77095,0.68016,0.71462,0.56007,1.13125,1.1717,1.13016,0.005347,0.005347,0.005347
96,242.545,0.97188,1.02928,1.01274,0.85079,0.71068,0.75549,0.57283,1.09283,1.20953,1.08026,0.0052975,0.0052975,0.0052975
97,244.678,1.10009,1.21513,1.16657,0.78014,0.6953,0.73653,0.62493,0.86127,0.99127,0.99845,0.005248,0.005248,0.005248
98,246.766,1.03065,1.20388,1.11274,0.78748,0.7222,0.75215,0.62671,0.81807,0.78374,0.97162,0.0051985,0.0051985,0.0051985
99,248.836,1.02209,1.12073,1.11503,0.78432,0.71349,0.74325,0.61982,0.83907,0.81525,0.98143,0.005149,0.005149,0.005149
100,250.919,1.10557,1.35786,1.15377,0.85534,0.67954,0.79089,0.61818,0.84926,1.00788,1.00292,0.0050995,0.0050995,0.0050995
101,252.99,1.15245,1.46967,1.16535,0.84497,0.80214,0.80349,0.6423,0.86676,0.91743,1.00266,0.00505,0.00505,0.00505
102,255.119,0.74936,1.02497,0.89023,0.84858,0.80873,0.81068,0.61457,0.99003,0.7797,1.03249,0.0050005,0.0050005,0.0050005
103,257.204,0.93781,1.10868,0.99307,0.31669,0.34127,0.31702,0.26832,1.74228,2.64642,1.65094,0.004951,0.004951,0.004951
104,259.308,0.81586,1.16611,0.9326,0.28571,0.14286,0.22432,0.19208,2.73796,5.55109,2.58148,0.0049015,0.0049015,0.0049015
105,261.365,1.01139,1.24956,1.07842,0.31259,0.30159,0.30131,0.27092,1.79832,3.98662,1.69821,0.004852,0.004852,0.004852
106,263.419,1.02573,1.11504,1.12557,0.80674,0.5871,0.66316,0.51903,1.19293,1.30287,1.14617,0.0048025,0.0048025,0.0048025
107,265.566,1.12958,1.3836,1.16441,0.90748,0.77698,0.82067,0.60106,1.03278,0.81914,1.03851,0.004753,0.004753,0.004753
108,267.667,0.8272,1.64763,0.94461,0.87869,0.77555,0.81182,0.65191,0.82566,0.7653,0.98652,0.0047035,0.0047035,0.0047035
109,269.779,0.77526,0.99176,0.92741,0.87314,0.79286,0.81185,0.63555,0.90262,0.78299,1.01525,0.004654,0.004654,0.004654
110,271.86,1.20774,1.20639,1.20642,0.84437,0.8246,0.8231,0.62967,0.89176,0.78124,1.00129,0.0046045,0.0046045,0.0046045
111,274.028,1.08369,1.14489,1.06045,0.86139,0.81512,0.82417,0.65314,0.82791,0.73273,0.98019,0.004555,0.004555,0.004555
112,276.16,0.89974,1.06386,1.00823,0.82058,0.84656,0.84448,0.65338,0.8821,0.8514,0.98805,0.0045055,0.0045055,0.0045055
113,278.196,1.06083,1.44737,1.11883,0.82881,0.85957,0.84023,0.64423,0.96304,0.89414,1.01468,0.004456,0.004456,0.004456
114,280.297,0.99698,1.2084,1.08419,0.80283,0.8246,0.81887,0.60788,0.99643,0.86602,1.03344,0.0044065,0.0044065,0.0044065
115,282.963,0.9405,1.12865,1.05782,0.78722,0.80317,0.8038,0.62426,0.93015,0.80796,1.03205,0.004357,0.004357,0.004357
116,286.109,0.94386,1.35329,1.05995,0.8861,0.72937,0.78293,0.58526,1.00965,0.82318,1.05702,0.0043075,0.0043075,0.0043075
117,289.334,0.8998,1.0157,1.01878,0.87767,0.77212,0.8372,0.6037,0.97546,0.8343,1.05447,0.004258,0.004258,0.004258
118,292.474,1.01415,1.15665,1.08879,0.87024,0.80638,0.84415,0.62157,0.89112,0.76123,1.03021,0.0042085,0.0042085,0.0042085
119,295.6,0.96486,1.14331,1.10435,0.88067,0.82585,0.85108,0.63698,0.87103,0.72183,1.02803,0.004159,0.004159,0.004159
120,298.896,0.88237,1.5954,0.94204,0.76822,0.8289,0.79665,0.60035,0.98599,0.69349,1.07273,0.0041095,0.0041095,0.0041095
121,301.983,1.06985,1.12215,1.07766,0.79372,0.76313,0.77327,0.58248,1.03536,0.6979,1.09999,0.00406,0.00406,0.00406
122,305.037,0.89053,1.03251,1.03,0.80279,0.73421,0.777,0.56798,1.04646,0.77464,1.08423,0.0040105,0.0040105,0.0040105
123,308.099,1.00008,1.08142,1.06964,0.79579,0.71349,0.73874,0.55281,1.12293,0.83903,1.09084,0.003961,0.003961,0.003961
124,311.241,1.06607,1.10497,1.12025,0.73446,0.64683,0.66491,0.52193,1.21077,1.17916,1.17639,0.0039115,0.0039115,0.0039115
125,314.231,0.90671,1.09565,0.9813,0.63615,0.55,0.63687,0.51438,1.1486,1.67582,1.17082,0.003862,0.003862,0.003862
126,317.254,1.05293,1.17501,1.09962,0.3749,0.71349,0.60401,0.48771,1.08745,2.07944,1.1588,0.0038125,0.0038125,0.0038125
127,320.292,1.01698,1.06932,1.0536,0.69552,0.64683,0.67193,0.54723,0.98027,1.26111,1.09404,0.003763,0.003763,0.003763
128,323.382,1.02034,1.10701,1.10752,0.74901,0.79317,0.76005,0.57054,1.0116,0.80053,1.08116,0.0037135,0.0037135,0.0037135
129,326.354,0.83914,0.96144,0.94047,0.77865,0.84472,0.82748,0.55705,1.14559,0.75718,1.104,0.003664,0.003664,0.003664
130,329.302,0.92934,0.96516,1.0184,0.77893,0.8881,0.84263,0.56921,1.05304,0.77423,1.07159,0.0036145,0.0036145,0.0036145
131,332.371,0.96898,1.11743,1.04386,0.80944,0.84559,0.86419,0.63135,0.95573,0.77674,1.03906,0.003565,0.003565,0.003565
132,335.518,1.05429,1.04849,1.11121,0.93442,0.76111,0.85829,0.67798,0.84734,0.79138,0.99706,0.0035155,0.0035155,0.0035155
133,338.507,0.93991,0.99196,1.0556,0.84029,0.85533,0.86243,0.66091,0.9477,0.7818,1.01707,0.003466,0.003466,0.003466
134,341.502,0.9578,0.98359,1.05049,0.82894,0.87929,0.87008,0.62745,1.04515,0.75916,1.04307,0.0034165,0.0034165,0.0034165
135,344.717,0.85487,0.94757,0.99196,0.8349,0.88378,0.86812,0.6293,1.06642,0.72046,1.0532,0.003367,0.003367,0.003367
136,347.825,0.85612,1.12758,0.95682,0.85353,0.8453,0.87731,0.66324,0.85732,0.74983,0.99269,0.0033175,0.0033175,0.0033175
137,350.924,0.90969,1.0643,0.9825,0.87814,0.85635,0.88096,0.68069,0.82555,0.7664,0.99024,0.003268,0.003268,0.003268
138,354.016,0.86749,0.99724,1.02838,0.81646,0.86214,0.8678,0.64195,0.94052,0.75754,1.00887,0.0032185,0.0032185,0.0032185
139,357.018,0.79364,1.93599,0.91395,0.8633,0.87222,0.87834,0.61145,1.05286,0.72489,1.02915,0.003169,0.003169,0.003169
140,360.109,0.83104,1.77973,0.9379,0.8712,0.86538,0.88703,0.62045,1.03194,0.73219,1.02269,0.0031195,0.0031195,0.0031195
141,363.118,0.95828,1.13332,1.10695,0.90886,0.77706,0.87015,0.63499,0.96254,0.87641,1.0004,0.00307,0.00307,0.00307
142,366.143,0.90149,1.09511,1.06362,0.95048,0.73825,0.82665,0.63538,0.91801,1.05792,0.99247,0.0030205,0.0030205,0.0030205
143,369.12,0.80471,1.47787,0.94383,0.90708,0.77698,0.88155,0.64548,0.9188,0.95393,0.98245,0.002971,0.002971,0.002971
144,372.168,0.82979,0.98484,0.95858,0.88748,0.79286,0.8683,0.61486,1.04119,0.98528,1.02048,0.0029215,0.0029215,0.0029215
145,375.189,0.96714,1.1358,1.04382,0.89387,0.79568,0.88472,0.63404,1.00993,0.91958,1.01235,0.002872,0.002872,0.002872
146,378.202,0.99276,1.16364,1.08398,0.887,0.80199,0.88422,0.6642,0.88409,0.8291,0.9861,0.0028225,0.0028225,0.0028225
147,381.257,1.04371,1.1487,1.10795,0.91217,0.79286,0.88394,0.67648,0.82714,0.85499,0.98296,0.002773,0.002773,0.002773
148,384.325,0.83371,1.02783,0.92413,0.8917,0.76905,0.84544,0.61443,1.04697,0.94345,1.0352,0.0027235,0.0027235,0.0027235
149,387.314,1.07206,1.41413,1.03578,0.89174,0.76561,0.84491,0.58629,1.14064,0.9412,1.05938,0.002674,0.002674,0.002674
150,390.318,0.85924,1.03959,0.92914,0.88196,0.83442,0.86294,0.63041,1.03344,0.85522,1.03834,0.0026245,0.0026245,0.0026245
151,393.398,0.91259,0.98864,1.03341,0.86591,0.84048,0.85952,0.65139,0.93327,0.80445,1.00858,0.002575,0.002575,0.002575
152,396.599,0.80803,0.9101,1.00089,0.89171,0.87222,0.88104,0.62917,1.02243,0.77366,1.02838,0.0025255,0.0025255,0.0025255
153,399.552,0.92864,1.02983,0.97763,0.84385,0.85245,0.87367,0.59863,1.14887,0.81355,1.06125,0.002476,0.002476,0.002476
154,402.591,0.96243,1.01796,1.0941,0.87342,0.80459,0.88,0.59892,1.17659,0.86941,1.06696,0.0024265,0.0024265,0.0024265
155,405.601,0.73334,0.86004,0.90055,0.88575,0.78565,0.86902,0.62476,1.10821,0.93406,1.036,0.002377,0.002377,0.002377
156,408.806,0.99592,1.4477,1.07275,0.86944,0.78481,0.85968,0.60562,1.08297,0.95987,1.01984,0.0023275,0.0023275,0.0023275
157,411.851,0.85951,1.03939,0.93836,0.85538,0.82754,0.87146,0.61394,1.14261,0.87966,1.03868,0.002278,0.002278,0.002278
